ID,D0,D1,E,VC,VH,CD,BA,D01,D02,BAL,DBA,DG,RD,SH,树种名,林层,坡向,坡位,土壤名,土壤厚度,腐殖厚度,群落结构,
1,8.2,0,1016,50,0.2,0.5,0.087972333,0.12195122,67.24,3148.21967,93.21112319,10.45191063,0.784545552,0,枫桦,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,9,0,1016,50,0.2,0.5,0.105975,0.111111111,81,3073.73221,84.92569002,10.45191063,0.861086582,0,色树,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,9.6,0,1016,50,0.2,0.5,0.120576,0.104166667,92.16,3016.542016,79.61783439,10.45191063,0.918492354,0,椴树,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,10.1,0,1016,50,0.2,0.5,0.133463083,0.099009901,102.01,2970.098525,75.67635744,10.45191063,0.966330497,0,红松,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,11.6,0,1016,50,0.2,0.5,0.176049333,0.086206897,134.56,2831.418423,65.89062157,10.45191063,1.109844928,0,椴树,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,11.6,0,1016,50,0.2,0.5,0.176049333,0.086206897,134.56,2831.418423,65.89062157,10.45191063,1.109844928,0,杂木,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,12.2,0,1016,50,0.2,0.5,0.194732333,0.081967213,148.84,2774.742915,62.6500992,10.45191063,1.1672507,0,椴树,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,13.1,0,1016,50,0.2,0.5,0.224523083,0.076335878,171.61,2689.209066,58.34589391,10.45191063,1.253359358,0,杂木,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,13.2,0,1016,50,0.2,0.5,0.227964,0.075757576,174.24,2677.582902,57.90387956,10.45191063,1.262926987,0,白桦,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,13.5,0,1016,50,0.2,0.5,0.23844375,0.074074074,182.25,2647.024174,56.61712668,10.45191063,1.291629873,0,椴树,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,13.7,0,1016,50,0.2,0.5,0.245561083,0.072992701,187.69,2626.767615,55.79059928,10.45191063,1.31076513,0,臭松,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,14.3,0,1016,50,0.2,0.5,0.267541083,0.06993007,204.49,2570.490154,53.44973498,10.45191063,1.368170902,0,白桦,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,14.4,0,1016,50,0.2,0.5,0.271296,0.069444444,207.36,2560.723498,53.07855626,10.45191063,1.377738531,0,椴树,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,16.4,0,1016,50,0.2,0.5,0.351889333,0.06097561,268.96,2346.229352,46.6055616,10.45191063,1.569091104,0,杂木,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,20,0,1016,50,0.2,0.5,0.523333333,0.05,400,1980.630478,38.21656051,10.45191063,1.913525737,0,臭松,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,27.5,0,1016,50,0.2,0.5,0.989427083,0.036363636,756.25,1233.362209,27.79386219,10.45191063,2.631097889,0,色树,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,28.4,0,1016,50,0.2,0.5,1.055249333,0.035211268,806.56,1151.435697,26.91307078,10.45191063,2.717206547,0,臭松,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,29.5,0,1016,50,0.2,0.5,1.138577083,0.033898305,870.25,1065.440007,25.90953255,10.45191063,2.822450462,0,臭松,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,31.8,0,1016,50,0.2,0.5,1.323039,0.031446541,1011.24,897.8049448,24.03557265,10.45191063,3.042505922,0,臭松,单林层,西南坡,上坡,暗棕壤,中,中,完整结构,
1,5.7,9.5,1016,50,0.2,0.5,0.04250775,0.175438596,32.49,3337.766057,134.0931948,10.45191063,0.545354835,1,臭松,复林层主,西南坡,上坡,暗棕壤,中,中,完整结构,
1,6.1,39,1016,50,0.2,0.5,0.048683083,0.163934426,37.21,3311.434959,125.3001984,10.45191063,0.58362535,1,云杉,复林层主,西南坡,上坡,暗棕壤,中,中,完整结构,
1,6.2,9.6,1016,50,0.2,0.5,0.050292333,0.161290323,38.44,3304.846664,123.2792275,10.45191063,0.593192979,1,臭松,复林层主,西南坡,上坡,暗棕壤,中,中,完整结构,
1,6.5,18.4,1016,50,0.2,0.5,0.055277083,0.153846154,42.25,3285.385611,117.589417,10.45191063,0.621895865,1,色树,复林层主,西南坡,上坡,暗棕壤,中,中,完整结构,
1,7.3,9.7,1016,50,0.2,0.5,0.069721083,0.136986301,53.29,3223.957399,104.7029055,10.45191063,0.698436894,1,臭松,复林层主,西南坡,上坡,暗棕壤,中,中,完整结构,
1,8,10,1016,50,0.2,0.5,0.083733333,0.125,64,3165.156751,95.54140127,10.45191063,0.765410295,1,色树,复林层主,西南坡,上坡,暗棕壤,中,中,完整结构,
1,8.3,16.5,1016,50,0.2,0.5,0.090131083,0.120481928,68.89,3138.395382,92.08809761,10.45191063,0.794113181,1,色树,复林层主,西南坡,上坡,暗棕壤,中,中,完整结构,
1,8.6,18,1016,50,0.2,0.5,0.096764333,0.11627907,73.96,3113.732801,88.87572212,10.45191063,0.822816067,1,色树,复林层主,西南坡,上坡,暗棕壤,中,中,完整结构,
1,9.9,19.8,1016,50,0.2,0.5,0.12822975,0.101010101,98.01,2988.599274,77.20517275,10.45191063,0.94719524,1,色树,复林层主,西南坡,上坡,暗棕壤,中,中,完整结构,
